EmployerName,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,PropMaleLowerQuartile,PropFemaleLowerQuartile,PropMaleLowerMiddleQuartile,PropFemaleLowerMiddleQuartile,PropMaleUpperMiddleQuartile,PropFemaleUpperMiddleQuartile,PropMaleTopQuartile,PropFemaleTopQuartile,EmployerSize
SEAX Trust,1.9,5.3,NA,NA,0,0,0.106,0.894,0.123,0.877,0.287,0.713,0.244,0.756,250-499
SEFTON NEW DIRECTIONS LIMITED,6.5,7.6,NA,NA,0,0,0.045,0.955,0.054,0.946,0.171,0.829,0.179,0.821,250-499
SERVICENOW UK LIMITED,11.3,27.6,42.3,52,91.7,86.6,0.66,0.34,0.816,0.184,0.851,0.149,0.831,0.169,500-999
SHARE Multi Academy Trust,20.9,38.1,NA,NA,0,0,0.113,0.887,0.233,0.767,0.245,0.755,0.339,0.661,500-999
Shearman & Sterling LLP,37,52,63,68,54,69,0.1,0.9,0.3,0.7,0.42,0.58,0.6,0.4,0-249
Sills & Betteridge LLP,37.7,42.7,98.6,95.4,5.1,1.3,0.05,0.95,0.09,0.91,0.11,0.89,0.32,0.68,250-499
Solent Nhs Trust,15.4,0.5,42.9,53.3,0.4,2.4,0.119,0.881,0.149,0.851,0.091,0.909,0.177,0.823,1000-4999
SOLOR CARE GROUP LIMITED,-3.4,-0.6,-67.4,-450,1.5,1.7,0.297,0.703,0.405,0.595,0.302,0.698,0.353,0.647,500-999
South Cambridgeshire District Council,-6.6,-19.4,NA,NA,0,0,0.75,0.25,0.438,0.562,0.387,0.613,0.438,0.562,500-999
SOUTHERN ELECTRIC POWER DISTRIBUTION PLC,20.7,22.1,24.5,5.1,10.8,4.6,0.574,0.426,0.824,0.176,0.866,0.134,0.921,0.079,1000-4999
SSE CONTRACTING LIMITED,20.3,21.6,-5.9,-14,33,8.2,0.75,0.25,0.872,0.128,0.951,0.049,0.946,0.054,1000-4999
SSE ELECTRICITY LIMITED,14.9,2.7,59.4,75.1,15.2,11.1,0.414,0.586,0.421,0.579,0.357,0.643,0.54,0.46,5000-19999
SSE ENERGY SUPPLY LIMITED,32.1,8.9,86.2,28.9,36.6,15.9,0.546,0.454,0.454,0.546,0.464,0.536,0.722,0.278,500-999
SSE GENERATION LIMITED,22.4,29.6,35.2,24.1,83.2,74.3,0.734,0.266,0.852,0.148,0.941,0.059,0.948,0.052,1000-4999
SSE HOME SERVICES LIMITED,19.1,22.4,-26.1,-49.5,81,2.2,0.422,0.578,0.949,0.051,0.991,0.009,0.887,0.113,250-499
SSE METERING LIMITED,3.6,11.8,1.8,-6.7,24.5,11,0.778,0.222,0.856,0.144,0.942,0.058,0.863,0.137,1000-4999
SSE PLC,21.4,21,33.8,9.3,30.6,15.7,0.537,0.463,0.643,0.357,0.789,0.211,0.828,0.172,5000-19999
SSE RENEWABLES LIMITED,31.5,37.6,46.8,53.4,72.3,53.5,0.563,0.437,0.6,0.4,0.614,0.386,0.937,0.063,250-499
SSE SERVICES PLC,22.7,23.5,51.2,26.5,28,24,0.475,0.525,0.492,0.508,0.551,0.449,0.761,0.239,1000-4999
SSE TELECOMMUNICATIONS LIMITED,23.6,31.7,65.1,26.5,40.6,29.3,0.545,0.455,0.802,0.198,0.85,0.15,0.901,0.099,250-499
